10	1	0
5	1	0
6	1	0
3	1	0
11	1	0
2	1	0
8	1	0
20	73	1
18	43	1
33	63	1
26	59	1
18	27	1
28	14	1
26	19	1
28	17	1
38	23	1
30	58	1
18	62	1
12	15	1
20	43	1
26	45	1
38	58	1
26	27	1
41	55	1
20	45	1
20	29	1
22	53	1
22	63	1
20	28	1
12	13	1
28	24	1
28	29	1
22	56	1
18	61	1
38	63	1
30	55	1
18	47	1
12	51	1
12	49	1
20	26	1
20	15	1
18	57	1
18	19	1
18	73	1
18	28	1
41	63	1
18	32	1
41	66	1
26	69	1
26	14	1
20	62	1
18	17	1
28	48	1
20	68	1
20	17	1
12	69	1
26	54	1
28	76	1
28	44	1
28	64	1
22	52	1
18	20	1
18	51	1
20	64	1
26	73	1
12	59	1
20	14	1
28	62	1
12	45	1
20	60	1
30	56	1
38	52	1
20	35	1
38	66	1
38	56	1
28	49	1
28	37	1
26	35	1
20	25	1
33	34	1
33	58	1
12	37	1
18	45	1
28	61	1
12	17	1
28	50	1
20	50	1
41	31	1
12	43	1
28	60	1
30	71	1
18	26	1
26	32	1
41	58	1
28	19	1
28	45	1
20	54	1
22	34	1
18	69	1
12	54	1
12	61	1
12	26	1
20	49	1
28	70	1
26	24	1
18	15	1
30	52	1
26	68	1
26	37	1
18	50	1
28	13	1
20	40	1
26	29	1
20	51	1
18	35	1
12	27	1
20	44	1
20	59	1
28	67	1
26	25	1
26	49	1
33	53	1
41	56	1
12	25	1
18	59	1
18	49	1
38	71	1
12	14	1
22	55	1
26	48	1
33	66	1
22	71	1
28	51	1
28	73	1
12	24	1
20	70	1
20	48	1
41	23	1
26	72	1
28	54	1
12	47	1
38	31	1
26	51	1
12	19	1
18	24	1
18	64	1
33	71	1
22	23	1
30	63	1
26	60	1
18	60	1
26	76	1
18	13	1
38	34	1
18	37	1
20	72	1
38	53	1
18	40	1
12	57	1
18	68	1
33	52	1
20	19	1
18	12	1
28	32	1
20	32	1
85	127	2
85	111	2
78	100	2
85	119	2
94	98	2
78	131	2
86	113	2
81	99	2
88	96	2
88	110	2
94	84	2
83	133	2
89	80	2
86	84	2
85	93	2
94	114	2
83	82	2
90	122	2
89	105	2
89	113	2
86	111	2
86	132	2
83	109	2
90	105	2
94	91	2
85	107	2
94	134	2
118	125	2
85	131	2
83	131	2
90	114	2
94	132	2
94	126	2
118	93	2
83	95	2
118	116	2
78	93	2
78	80	2
81	79	2
78	95	2
78	113	2
83	125	2
94	105	2
94	112	2
81	105	2
88	116	2
78	91	2
81	96	2
83	108	2
90	125	2
118	98	2
86	124	2
85	126	2
88	109	2
83	129	2
85	134	2
118	92	2
83	107	2
85	98	2
86	107	2
90	92	2
88	91	2
83	96	2
88	126	2
86	135	2
85	125	2
78	119	2
118	107	2
89	112	2
118	110	2
89	79	2
85	123	2
78	109	2
83	110	2
118	131	2
89	107	2
88	101	2
83	91	2
78	134	2
81	125	2
89	135	2
89	95	2
78	111	2
78	101	2
83	93	2
85	110	2
89	134	2
88	99	2
88	127	2
81	82	2
89	82	2
88	92	2
118	124	2
118	111	2
85	122	2
86	134	2
89	111	2
86	130	2
86	109	2
90	129	2
90	102	2
94	101	2
89	126	2
83	99	2
89	133	2
94	102	2
90	134	2
83	101	2
81	100	2
85	114	2
89	100	2
89	131	2
90	95	2
118	132	2
118	101	2
88	132	2
78	130	2
85	129	2
94	111	2
94	99	2
88	113	2
118	114	2
94	135	2
94	130	2
86	119	2
90	107	2
90	123	2
94	80	2
85	116	2
81	110	2
83	84	2
94	107	2
89	84	2
88	84	2
78	127	2
85	91	2
89	99	2
81	122	2
88	111	2
89	102	2
81	133	2
81	119	2
81	93	2
89	127	2
90	91	2
118	135	2
86	80	2
118	126	2
78	108	2
90	99	2
83	132	2
89	130	2
83	119	2
118	119	2
83	114	2
78	96	2
78	99	2
86	131	2
83	111	2
83	79	2
88	131	2
88	130	2
85	124	2
78	82	2
85	108	2
89	125	2
83	122	2
89	98	2
94	122	2
83	80	2
86	92	2
88	114	2
86	79	2
89	101	2
78	92	2
90	119	2
88	98	2
89	122	2
81	116	2
88	119	2
78	132	2
94	108	2
94	128	2
118	122	2
85	113	2
78	126	2
90	126	2
85	132	2
81	123	2
78	79	2
78	135	2
88	112	2
94	96	2
78	128	2
90	108	2
85	84	2
78	123	2
118	134	2
94	131	2
90	130	2
81	84	2
81	111	2
86	100	2
88	134	2
86	125	2
81	92	2
86	99	2
81	134	2
83	92	2
118	123	2
85	128	2
78	114	2
83	134	2
118	130	2
78	129	2
86	127	2
88	100	2
83	135	2
90	124	2
81	108	2
90	100	2
90	84	2
90	109	2
78	116	2
90	98	2
118	95	2
94	82	2
89	108	2
88	93	2
118	102	2
86	98	2
81	130	2
89	124	2
78	105	2
83	105	2
89	123	2
86	108	2
118	79	2
90	82	2
88	135	2
85	101	2
118	133	2
90	116	2
94	92	2
81	95	2
85	130	2
85	99	2
85	105	2
118	100	2
86	93	2
89	128	2
81	124	2
78	98	2
90	128	2
94	79	2
94	119	2
78	125	2
90	131	2
86	105	2
86	112	2
88	129	2
86	116	2
83	128	2
78	110	2
86	96	2
78	84	2
94	125	2
118	112	2
85	109	2
90	110	2
173	189	3
177	480	3
320	279	3
150	553	3
150	538	3
173	419	3
177	546	3
156	473	3
140	316	3
